id,date,price,num_bedrooms,num_bathrooms,total_floors,has_view_to_waterfront,has_been_viewed,overall_condition,grade,year_built,year_last_renovated,zipcode,latitude,longitude,sqft_house,sqft_lot,sqft_no_basement,sqft_basement,sqft_house_after_2015,sqft_lot_after_2015
11501160,20140617T000000,837700,5,2.75,2,0,0,3,10,1994,0,98052,47.696,-122.102,3010,12611,3010,0,2890,9456
11501310,20141121T000000,715000,3,3.25,2,0,0,3,10,1994,0,98052,47.6971,-122.101,3060,9055,2460,600,2990,9598
11520640,20140801T000000,810000,4,2.75,2,0,0,3,9,1996,0,98052,47.6979,-122.112,3010,10450,3010,0,3010,10530
11900140,20140509T000000,254000,3,2.5,2,0,0,3,8,2003,0,98042,47.3755,-122.136,1850,4597,1850,0,2210,5000
16000435,20150316T000000,218500,2,1,1,0,0,4,7,1949,0,98002,47.3098,-122.21,1600,8961,1390,210,1502,6798
34001160,20140919T000000,590000,3,2,1,0,1,4,7,1959,0,98136,47.5289,-122.391,3030,9374,2100,930,1990,6012
42000245,20140613T000000,171000,4,2,1,0,0,3,6,1920,0,98188,47.4683,-122.281,1520,19672,1020,500,1810,7840
53500760,20141208T000000,287000,4,2.5,2,0,0,3,7,2010,0,98042,47.3414,-122.055,2660,4082,2660,0,2390,4876
84000335,20140626T000000,225000,3,2,1,0,0,5,6,1945,0,98146,47.4851,-122.338,1700,11475,970,730,1560,11475
88000173,20141015T000000,333000,4,2,1,0,0,3,8,2008,0,98055,47.457,-122.189,2750,9001,2750,0,1340,11050
88000790,20140714T000000,252000,3,1,1,0,0,3,7,1968,1986,98055,47.4562,-122.196,1170,9730,1170,0,1680,10125
98020220,20141030T000000,750000,4,2.5,2,0,0,3,10,2005,0,98075,47.582,-121.971,3210,8938,3210,0,3740,8108
98030400,20140711T000000,790000,4,3.5,2,0,0,3,10,2006,0,98075,47.5828,-121.972,3560,6098,3560,0,3660,6846
98030660,20150311T000000,815000,4,2.5,2,0,0,3,10,2006,0,98075,47.5841,-121.971,3880,7208,3880,0,3280,7221
98300230,20150428T000000,1460000,4,4,2,0,0,3,10,2014,0,98024,47.5885,-121.939,4620,130208,4620,0,4620,131007
100300280,20141020T000000,355000,3,2.25,2,0,0,3,7,2010,0,98059,47.4867,-122.152,1430,4777,1430,0,1639,3854
103000116,20140722T000000,645000,3,1.75,1,0,0,4,7,1946,0,98115,47.6733,-122.301,2070,5500,1130,940,1800,4400
104501040,20141003T000000,249900,4,2,1.5,0,0,3,7,1983,0,98023,47.3127,-122.354,1500,7854,1500,0,1500,7334
104510230,20141119T000000,252000,3,2,2,0,0,4,7,1984,0,98023,47.3128,-122.351,1540,7210,1540,0,1500,7210
104550520,20150330T000000,270000,4,2.5,2,0,0,3,7,1988,0,98023,47.3082,-122.358,1750,6397,1750,0,1940,6502
104550540,20150120T000000,259950,4,2,1,0,0,3,7,1989,0,98023,47.3085,-122.358,1610,6650,1610,0,1960,6650
104560280,20140522T000000,273000,4,3,2,0,0,3,7,1990,0,98023,47.3083,-122.36,1990,6180,1990,0,1910,6180
114100234,20150430T000000,402500,3,2.25,2,0,0,3,8,1979,0,98028,47.7668,-122.243,2160,9540,2160,0,1720,12593
114100297,20140922T000000,400000,3,1.75,1,0,0,5,7,1970,0,98028,47.7769,-122.25,1560,8456,1560,0,2230,13109
114100314,20150318T000000,285000,3,1.5,1,0,0,3,7,1960,0,98028,47.7766,-122.248,1480,7117,1170,310,2230,14775
114100758,20141022T000000,420000,2,1,1,0,0,3,7,1955,0,98028,47.7642,-122.234,960,112384,960,0,1210,24875
114700150,20141114T000000,236000,3,1.75,1,0,0,3,7,1975,0,98023,47.2917,-122.366,1560,10919,1560,0,1730,10919
121039083,20150206T000000,629000,3,1.75,2,1,4,4,8,1970,0,98023,47.3311,-122.375,1460,12367,1120,340,1970,18893
121039156,20150109T000000,249000,3,1,1,0,2,3,5,1943,0,98023,47.3343,-122.362,1030,24750,1030,0,2810,28800
121059007,20140808T000000,210000,4,1,1,0,0,3,5,1968,0,98042,47.3375,-122.123,1200,43560,1200,0,1400,54450
122069107,20141204T000000,427500,3,1.5,1.5,0,0,4,7,1971,0,98038,47.4199,-121.99,1900,43186,1300,600,2080,108028
123039333,20140609T000000,240000,4,1,1.5,0,0,3,6,1934,0,98106,47.5151,-122.366,1910,16320,1910,0,1380,9000
123059042,20150423T000000,530000,3,2.25,1,0,0,4,7,1976,0,98059,47.5041,-122.102,2190,220414,1330,860,2550,175982
124000160,20140701T000000,563000,4,1,1.5,0,0,5,7,1911,0,98107,47.6606,-122.365,1410,3376,1410,0,1040,3600
126039213,20141203T000000,365500,2,1,1,0,0,4,6,1909,0,98177,47.7673,-122.367,1140,15624,1140,0,2110,15493
126039252,20140709T000000,415000,4,1.5,1.5,0,0,4,7,1950,0,98177,47.7656,-122.358,1840,11367,1840,0,1690,9800
126039467,20150114T000000,700000,4,2.5,2,0,0,3,9,2008,0,98177,47.7747,-122.366,3040,7200,3040,0,2360,8245
126049100,20141104T000000,398000,3,1.75,1,0,0,3,7,1954,0,98028,47.7754,-122.233,1830,27468,1830,0,1860,10180
126049169,20140828T000000,450000,3,1.75,1,0,0,3,7,1967,0,98028,47.7663,-122.228,1540,61419,1540,0,3790,8529
126059005,20150115T000000,547000,5,3,1,0,0,3,7,1971,0,98072,47.7726,-122.111,2200,103237,1160,1040,2300,103237
126059097,20141023T000000,775000,3,3.5,2,0,0,3,8,1948,1990,98072,47.7717,-122.112,2690,104544,2690,0,2300,81698
151000075,20150206T000000,856000,3,2.5,2,0,0,3,9,2014,0,98116,47.5762,-122.415,2160,3920,2160,0,1500,4920
164000174,20140908T000000,300000,3,1,1,0,0,3,7,1957,0,98133,47.7304,-122.352,1010,6300,1010,0,1480,7480
164000271,20140905T000000,340000,3,1,1.5,0,0,3,7,1946,0,98133,47.7294,-122.353,980,7228,980,0,1070,7228
164000361,20150421T000000,799000,4,1.5,1,0,0,3,7,1968,0,98133,47.7273,-122.351,1810,6583,1500,310,860,8670
173000140,20140722T000000,487000,3,1.75,2,0,0,3,7,1944,1978,98133,47.7289,-122.353,1770,10125,1770,0,1680,9825
179000350,20141105T000000,194000,3,1.5,1,0,0,3,6,1943,0,98178,47.4925,-122.278,1010,5000,1010,0,980,5000
179001046,20140508T000000,229000,3,2.5,2,0,0,3,7,2002,0,98178,47.4933,-122.275,1190,3000,1190,0,1190,3000
191100665,20150413T000000,630000,2,1,1,0,0,3,7,1959,0,98040,47.5627,-122.221,1050,8382,1050,0,2400,9525
192000120,20140520T000000,320000,3,1.75,1,0,0,4,7,1965,0,98056,47.513,-122.185,1480,7225,1480,0,1430,7201
192300020,20140521T000000,525000,3,2.75,2,0,0,3,9,1998,0,98045,47.4347,-121.417,2100,10362,1510,590,2240,11842
192450180,20150310T000000,335000,3,1.5,1,0,0,3,7,1985,0,98045,47.4752,-121.757,1140,15890,840,300,1200,15247
194000505,20140904T000000,651000,3,2,1,0,2,5,7,1940,0,98116,47.5664,-122.389,1940,6440,970,970,1730,4640
200520080,20140801T000000,595000,3,2.5,2,0,0,3,9,1991,0,98011,47.7383,-122.22,2660,10637,2660,0,2590,8637
203100435,20140918T000000,484000,1,0,1,0,0,4,7,1948,0,98053,47.6429,-121.955,690,23244,690,0,1690,19290
203100690,20150425T000000,1080000,4,2.75,2,0,0,3,9,1995,0,98053,47.6367,-121.958,3160,42733,3160,0,1890,24000
204000140,20150403T000000,403000,3,1,1,0,0,3,7,1977,0,98053,47.6385,-121.966,1500,10730,1000,500,1570,12210
205000450,20140514T000000,633100,4,2.5,2,0,0,3,9,1993,0,98053,47.6303,-121.99,2470,33305,2470,0,2440,33305
205000520,20141006T000000,737500,4,2.5,2,0,0,3,9,1993,0,98053,47.6304,-121.994,3200,36276,3200,0,2930,33171
207500012,20140505T000000,855000,4,2.75,1,0,0,4,8,1960,0,98199,47.6382,-122.397,2600,5390,1300,1300,2550,5600
221049191,20150428T000000,329500,3,2.5,1,0,0,5,7,1979,0,98001,47.341,-122.265,2120,22482,1360,760,2330,16016
222069057,20150330T000000,665000,3,3.5,1.5,0,0,3,9,2005,0,98038,47.4239,-122.015,3580,95832,3580,0,2880,60548
224069094,20140911T000000,530000,3,2.25,1,0,0,3,8,1967,0,98075,47.5896,-122.009,2120,40518,2120,0,2480,13492
224069114,20140829T000000,635000,4,2.5,1,0,0,4,7,1987,0,98075,47.5888,-122.011,2470,77550,2470,0,2490,40894
225039029,20150317T000000,525000,3,1.5,1,0,0,4,7,1941,0,98117,47.6818,-122.388,1940,5625,1440,500,1460,5500
225039069,20141010T000000,696950,4,2.75,1.5,0,0,4,7,1920,0,98117,47.6865,-122.396,2450,5376,1550,900,1920,5264
225069017,20140714T000000,850000,4,3,2,0,0,3,8,1975,2007,98053,47.6749,-122.002,2720,183823,2720,0,2140,173804
