id,num_bedrooms,num_bathrooms,total_floors,has_view_to_waterfront,has_been_viewed,overall_condition,grade,year_built,year_last_renovated
11501160,5,2.75,2,0,0,3,10,1994,0
11501310,3,3.25,2,0,0,3,10,1994,0
11520640,4,2.75,2,0,0,3,9,1996,0
11900140,3,2.5,2,0,0,3,8,2003,0
16000435,2,1,1,0,0,4,7,1949,0
34001160,3,2,1,0,1,4,7,1959,0
42000245,4,2,1,0,0,3,6,1920,0
53500760,4,2.5,2,0,0,3,7,2010,0
84000335,3,2,1,0,0,5,6,1945,0
88000173,4,2,1,0,0,3,8,2008,0
88000790,3,1,1,0,0,3,7,1968,1986
98020220,4,2.5,2,0,0,3,10,2005,0
98030400,4,3.5,2,0,0,3,10,2006,0
98030660,4,2.5,2,0,0,3,10,2006,0
98300230,4,4,2,0,0,3,10,2014,0
100300280,3,2.25,2,0,0,3,7,2010,0
103000116,3,1.75,1,0,0,4,7,1946,0
104501040,4,2,1.5,0,0,3,7,1983,0
104510230,3,2,2,0,0,4,7,1984,0
104550520,4,2.5,2,0,0,3,7,1988,0
104550540,4,2,1,0,0,3,7,1989,0
104560280,4,3,2,0,0,3,7,1990,0
114100234,3,2.25,2,0,0,3,8,1979,0
114100297,3,1.75,1,0,0,5,7,1970,0
114100314,3,1.5,1,0,0,3,7,1960,0
114100758,2,1,1,0,0,3,7,1955,0
114700150,3,1.75,1,0,0,3,7,1975,0
121039083,3,1.75,2,1,4,4,8,1970,0
121039156,3,1,1,0,2,3,5,1943,0
121059007,4,1,1,0,0,3,5,1968,0
122069107,3,1.5,1.5,0,0,4,7,1971,0
123039333,4,1,1.5,0,0,3,6,1934,0
123059042,3,2.25,1,0,0,4,7,1976,0
124000160,4,1,1.5,0,0,5,7,1911,0
126039213,2,1,1,0,0,4,6,1909,0
126039252,4,1.5,1.5,0,0,4,7,1950,0
126039467,4,2.5,2,0,0,3,9,2008,0
126049100,3,1.75,1,0,0,3,7,1954,0
126049169,3,1.75,1,0,0,3,7,1967,0
126059005,5,3,1,0,0,3,7,1971,0
126059097,3,3.5,2,0,0,3,8,1948,1990
151000075,3,2.5,2,0,0,3,9,2014,0
164000174,3,1,1,0,0,3,7,1957,0
164000271,3,1,1.5,0,0,3,7,1946,0
164000361,4,1.5,1,0,0,3,7,1968,0
173000140,3,1.75,2,0,0,3,7,1944,1978
179000350,3,1.5,1,0,0,3,6,1943,0
179001046,3,2.5,2,0,0,3,7,2002,0
191100665,2,1,1,0,0,3,7,1959,0
192000120,3,1.75,1,0,0,4,7,1965,0
192300020,3,2.75,2,0,0,3,9,1998,0
192450180,3,1.5,1,0,0,3,7,1985,0
194000505,3,2,1,0,2,5,7,1940,0
200520080,3,2.5,2,0,0,3,9,1991,0
203100435,1,0,1,0,0,4,7,1948,0
203100690,4,2.75,2,0,0,3,9,1995,0
204000140,3,1,1,0,0,3,7,1977,0
205000450,4,2.5,2,0,0,3,9,1993,0
205000520,4,2.5,2,0,0,3,9,1993,0
207500012,4,2.75,1,0,0,4,8,1960,0
221049191,3,2.5,1,0,0,5,7,1979,0
222069057,3,3.5,1.5,0,0,3,9,2005,0
224069094,3,2.25,1,0,0,3,8,1967,0
224069114,4,2.5,1,0,0,4,7,1987,0
225039029,3,1.5,1,0,0,4,7,1941,0
225039069,4,2.75,1.5,0,0,4,7,1920,0
225069017,4,3,2,0,0,3,8,1975,2007
226039214,5,2,1.5,0,0,3,7,1957,0
226059065,3,2.25,1,0,0,3,7,1962,0
226059161,4,2.5,2,0,0,3,8,1996,0
236500050,3,2,1,0,0,4,7,1959,0
238000244,3,2.5,2,0,0,3,8,2000,0
240000130,4,2.5,1,0,0,3,9,1972,0
243000380,3,1.75,1,0,0,5,7,1955,0
248000240,3,1.5,1,0,0,4,7,1962,0
250000010,4,3.5,2,0,0,3,10,2013,0
255370420,3,2.5,2,0,0,3,7,2010,0
255450030,3,2.5,2,0,0,3,8,2014,0
255450040,4,2.5,2,0,0,3,8,2014,0
255450390,3,2.5,2,0,0,3,8,,0
255450410,3,2.5,2,0,0,3,8,2014,0
255550270,3,2.5,2,0,0,3,7,2003,0
255580190,4,2.5,2,0,0,3,7,1999,0
258500059,3,2.5,1,0,2,3,9,1960,0
259600790,3,1.75,1,0,0,4,7,1964,0
259800750,3,1.5,1,0,0,3,7,1965,0
263000006,3,2.5,3,0,0,3,8,2009,0
263000291,3,1.75,1,0,0,4,6,1919,0
267000130,5,2.5,1,0,0,4,7,1967,0
268500020,4,1,1,0,0,4,7,1964,0
269001331,5,2.5,1,0,3,5,8,1959,0
272000125,3,1,1.5,0,0,4,6,1923,0
272000220,4,2,1,0,0,3,6,1907,0
272000355,3,1.5,2,0,0,3,7,1998,0
274100090,5,1.75,1,0,0,3,7,1968,0
284000025,2,2,1,1,4,5,9,1952,0
290000055,2,1,1,0,3,4,7,1947,0
290000095,6,1.75,1,0,3,3,8,1953,0
290200230,4,2.5,2,0,0,3,8,2003,0
291310120,3,2.25,2,0,0,3,7,2004,0
292000070,5,2.5,1,0,0,4,8,1962,0
293070310,4,4,2,0,0,3,9,2014,0
293620220,4,2.5,2,0,0,3,10,1998,0
293760150,4,3.5,2,0,0,3,10,2005,0
301400800,3,2.25,2,0,0,3,7,2012,0
301400830,3,2.5,2,0,0,3,7,2011,0
301401620,3,2.5,2,0,0,3,7,2014,0
304000530,3,1.5,1,0,0,4,7,1961,0
312000265,2,1,1,0,0,3,6,1950,0
318500300,4,2.75,2,0,0,3,9,2001,0
318900120,4,2.5,2,0,0,3,8,1995,0
321049090,5,2,1,0,0,5,7,1959,0
321079066,3,1.5,1.5,0,0,3,7,2002,0
322069020,3,1.75,1,0,0,3,7,1991,0
