id,zipcode,latitude,longitude
11501160,98052,47.696,-122.102
11501310,98052,47.6971,-122.101
11520640,98052,47.6979,-122.112
11900140,98042,47.3755,-122.136
16000435,98002,47.3098,-122.21
34001160,98136,47.5289,-122.391
42000245,98188,47.4683,-122.281
53500760,98042,47.3414,-122.055
84000335,98146,47.4851,-122.338
88000173,98055,47.457,-122.189
88000790,98055,47.4562,-122.196
98020220,98075,47.582,-121.971
98030400,98075,47.5828,-121.972
98030660,98075,47.5841,-121.971
98300230,98024,47.5885,-121.939
100300280,98059,47.4867,-122.152
103000116,98115,47.6733,-122.301
104501040,98023,47.3127,-122.354
104510230,98023,47.3128,-122.351
104550520,98023,47.3082,-122.358
104550540,98023,47.3085,-122.358
104560280,98023,47.3083,-122.36
114100234,98028,47.7668,-122.243
114100297,98028,47.7769,-122.25
114100314,98028,47.7766,-122.248
114100758,98028,47.7642,-122.234
114700150,98023,47.2917,-122.366
121039083,98023,47.3311,-122.375
121039156,98023,47.3343,-122.362
121059007,98042,47.3375,-122.123
122069107,98038,47.4199,-121.99
123039333,98106,47.5151,-122.366
123059042,98059,47.5041,-122.102
124000160,98107,47.6606,-122.365
126039213,98177,47.7673,-122.367
126039252,98177,47.7656,-122.358
126039467,98177,47.7747,-122.366
126049100,98028,47.7754,-122.233
126049169,98028,47.7663,-122.228
126059005,98072,47.7726,-122.111
126059097,98072,47.7717,-122.112
151000075,98116,47.5762,-122.415
164000174,98133,47.7304,-122.352
164000271,98133,47.7294,-122.353
164000361,98133,47.7273,-122.351
173000140,98133,47.7289,-122.353
179000350,98178,47.4925,-122.278
179001046,98178,47.4933,-122.275
191100665,98040,47.5627,-122.221
192000120,98056,47.513,-122.185
192300020,98045,47.4347,-121.417
192450180,98045,47.4752,-121.757
194000505,98116,47.5664,-122.389
200520080,98011,47.7383,-122.22
203100435,98053,47.6429,-121.955
203100690,98053,47.6367,-121.958
204000140,98053,47.6385,-121.966
205000450,98053,47.6303,-121.99
205000520,98053,47.6304,-121.994
207500012,98199,47.6382,-122.397
221049191,98001,47.341,-122.265
222069057,98038,47.4239,-122.015
224069094,98075,47.5896,-122.009
224069114,98075,47.5888,-122.011
225039029,98117,47.6818,-122.388
225039069,98117,47.6865,-122.396
225069017,98053,47.6749,-122.002
226039214,98177,47.7751,-122.38
226059065,98072,47.7657,-122.131
226059161,98072,47.7628,-122.123
236500050,98188,47.4322,-122.291
238000244,98188,47.4326,-122.286
240000130,98188,47.426,-122.285
243000380,98166,47.4536,-122.355
248000240,98023,47.3229,-122.348
250000010,98004,47.6354,-122.198
255370420,98038,47.3531,-122.017
255450030,98038,47.371,-122.018
255450040,98038,47.371,-122.017
255450390,98038,47.3706,-122.017
255450410,98038,47.3706,-122.018
255550270,98019,47.7453,-121.984
255580190,98001,47.3401,-122.282
258500059,98177,47.759,-122.371
259600790,98008,47.6334,-122.12
259800750,98008,47.6285,-122.117
263000006,98103,47.6993,-122.346
263000291,98103,47.6985,-122.348
267000130,98008,47.626,-122.104
268500020,98059,47.4991,-122.164
269001331,98199,47.6398,-122.39
272000125,98144,47.5881,-122.299
272000220,98144,47.5893,-122.299
272000355,98144,47.5873,-122.299
274100090,98030,47.3733,-122.214
284000025,98146,47.5036,-122.387
290000055,98146,47.506,-122.384
290000095,98146,47.5062,-122.385
290200230,98074,47.6076,-122.053
291310120,98027,47.5345,-122.069
292000070,98004,47.6005,-122.204
293070310,98074,47.6173,-122.056
293620220,98075,47.6018,-122.073
293760150,98029,47.5568,-122.029
301400800,98002,47.3451,-122.214
301400830,98002,47.3451,-122.215
301401620,98002,47.3451,-122.209
304000530,98092,47.2874,-122.192
312000265,98136,47.557,-122.395
318500300,98075,47.5788,-122.059
318900120,98024,47.5633,-121.901
321049090,98001,47.3424,-122.289
321079066,98010,47.3392,-121.897
322069020,98038,47.4214,-122.02
322069153,98038,47.4213,-122.033
322069180,98038,47.4257,-122.03
323059103,98059,47.515,-122.162
323089134,98045,47.5028,-121.77
325059086,98052,47.6832,-122.164
325059131,98033,47.6892,-122.164
326049103,98155,47.7699,-122.292
326049111,98155,47.7651,-122.291
326069101,98077,47.7754,-122.032
326069132,98077,47.7631,-122.028
326069164,98072,47.7625,-122.025
328000182,98115,47.6864,-122.265
333100295,98034,47.6997,-122.24
369000690,98199,47.6562,-122.389
395300100,98034,47.7259,-122.226
396100110,98133,47.7466,-122.334
408100110,98155,47.7505,-122.317
421000500,98056,47.4934,-122.166
421000555,98056,47.4923,-122.165
421049170,98003,47.3304,-122.304
422069067,98038,47.4253,-122.043
423059184,98056,47.505,-122.171
423059207,98056,47.5057,-122.172
423059387,98056,47.5078,-122.169
424049284,98144,47.5924,-122.299
424069096,98075,47.5926,-122.047
424069112,98075,47.5911,-122.037
425049146,98115,47.6772,-122.296
425059024,98033,47.677,-122.165
425059103,98033,47.6775,-122.165
425069147,98053,47.687,-122.047
425079100,98014,47.6802,-121.908
430000175,98115,47.68,-122.284
434000040,98115,47.6774,-122.284
446000150,98115,47.6883,-122.282
452002005,98107,47.6744,-122.369
452002135,98107,47.674,-122.371
455000395,98107,47.6718,-122.359
458000065,98117,47.6885,-122.376
461002025,98117,47.6831,-122.373
461002551,98117,47.6829,-122.375
472000055,98117,47.6859,-122.399
475000190,98107,47.6685,-122.365
475000510,98107,47.6674,-122.365
476000118,98107,47.6714,-122.392
476000338,98107,47.6705,-122.39
486000085,98117,47.6772,-122.399
507100005,98133,47.7775,-122.337
509000090,98074,47.6027,-122.043
510002065,98103,47.6606,-122.331
510002506,98103,47.6607,-122.333
510003230,98103,47.6601,-122.331
518500460,98056,47.5285,-122.205
520700125,98177,47.7753,-122.359
521049200,98198,47.3429,-122.33
522079068,98038,47.4178,-121.937
524059052,98004,47.5907,-122.196
524059093,98004,47.5975,-122.196
524059148,98004,47.5979,-122.197
524059241,98004,47.595,-122.203
524069011,98075,47.5886,-122.074
526059103,98011,47.7669,-122.206
526059122,98011,47.7642,-122.195
526059224,98011,47.7721,-122.206
526069024,98077,47.7702,-122.066
537000416,98003,47.3255,-122.305
546000245,98117,47.6889,-122.38
573000685,98199,47.6712,-122.409
579000550,98117,47.7008,-122.386
617000089,98166,47.4163,-122.34
619079016,98022,47.1593,-121.957
619079096,98022,47.1622,-121.971
622049114,98166,47.4169,-122.348
622069006,98058,47.4302,-122.095
623049185,98146,47.5075,-122.35
624069050,98075,47.6003,-122.076
624110920,98077,47.7262,-122.06
624110930,98077,47.7262,-122.06
624111000,98077,47.7268,-122.06
625049286,98103,47.6857,-122.341
625049318,98103,47.6878,-122.342
626710220,98077,47.7273,-122.083
627300195,98008,47.5858,-122.112
629000615,98004,47.5862,-122.198
629000704,98004,47.5849,-122.198
629600130,98075,47.5834,-122.001
629811600,98074,47.6095,-122.006
631000040,98033,47.6888,-122.203
643000110,98003,47.3311,-122.326
666000142,98004,47.6078,-122.202
686200510,98008,47.626,-122.112
686400380,98008,47.6336,-122.115
686530170,98052,47.6647,-122.149
686800080,98004,47.6336,-122.192
714000155,98105,47.6706,-122.265
714000315,98105,47.6693,-122.267
717000225,98118,47.5354,-122.278
721049207,98023,47.3191,-122.339
723000114,98105,47.6578,-122.286
723000150,98105,47.6578,-122.285
723049434,98146,47.4973,-122.346
723069128,98027,47.5007,-122.088
723099044,98045,47.4848,-121.698
726059047,98011,47.761,-122.214
726059344,98011,47.7599,-122.215
739980260,98031,47.4095,-122.195
745000005,98146,47.4982,-122.362
745530040,98011,47.7336,-122.21
745530240,98011,47.7338,-122.208
748000205,98177,47.7322,-122.359
751000080,98125,47.7092,-122.291
751000190,98125,47.7107,-122.291
752000035,98125,47.7113,-122.296
764000155,98022,47.1996,-122.003
782700120,98019,47.7077,-121.914
785000040,98033,47.6775,-122.18
795002455,98168,47.5102,-122.33
797000256,98168,47.5102,-122.324
798000145,98168,47.4989,-122.329
798000535,98168,47.5027,-122.33
806800090,98092,47.3357,-122.175
808000070,98030,47.3581,-122.173
808300200,98019,47.7245,-121.959
808300310,98019,47.7237,-121.959
809000525,98109,47.6334,-122.35
809001965,98109,47.6364,-122.351
809001970,98109,47.6364,-122.351
809002030,98109,47.6359,-122.351
820000018,98125,47.7185,-122.313
820079101,98022,47.2328,-121.945
821049123,98003,47.3221,-122.322
822069118,98038,47.4087,-122.062
823059145,98056,47.5029,-122.188
824059140,98004,47.5878,-122.202
824059265,98004,47.5873,-122.205
824069156,98075,47.5851,-122.072
825079024,98014,47.662,-121.944
826000295,98136,47.5465,-122.384
826000495,98136,47.5454,-122.383
826069085,98077,47.7506,-122.063
844001145,98010,47.3107,-121.999
844001485,98010,47.3073,-122.006
847100047,98059,47.4863,-122.143
856000985,98033,47.6906,-122.213
868000615,98177,47.7076,-122.377
868001295,98177,47.7045,-122.379
868002080,98177,47.7023,-122.388
869700350,98059,47.4911,-122.154
871001085,98199,47.6517,-122.406
871001735,98199,47.6534,-122.409
871001980,98199,47.651,-122.409
904000045,98199,47.6685,-122.409
913000315,98116,47.5837,-122.399
920069052,98022,47.2411,-122.043
921049141,98003,47.3207,-122.293
922059161,98031,47.4066,-122.169
922069139,98038,47.407,-122.045
923000265,98177,47.7256,-122.361
923049323,98168,47.4989,-122.302
923049378,98168,47.4901,-122.303
923049468,98168,47.4892,-122.306
923059259,98056,47.4917,-122.17
925049278,98115,47.6744,-122.301
925049318,98115,47.6743,-122.301
925059078,98033,47.6743,-122.184
925069042,98053,47.6707,-122.045
925069071,98053,47.6745,-122.054
925069111,98053,47.6735,-122.041
930000234,98177,47.7193,-122.361
952002250,98116,47.5655,-122.386
952003435,98126,47.5649,-122.38
952005224,98116,47.5631,-122.381
952006827,98116,47.5622,-122.384
976000790,98119,47.646,-122.362
976000879,98119,47.646,-122.363
982850080,98028,47.7608,-122.232
984210120,98058,47.4375,-122.166
985000833,98168,47.4941,-122.312
985000900,98168,47.4924,-122.311
985000955,98168,47.4927,-122.312
986000045,98168,47.5059,-122.303
993000090,98103,47.6938,-122.34
993001330,98103,47.6916,-122.34
993001961,98103,47.6912,-122.343
993002325,98103,47.6912,-122.34
999000215,98107,47.6726,-122.371
1003400155,98188,47.4374,-122.285
1003600056,98188,47.4386,-122.285
1003600080,98188,47.4396,-122.285
1022059032,98042,47.4155,-122.163
1023059465,98059,47.4959,-122.15
1023089019,98045,47.4881,-121.777
1024039049,98116,47.5799,-122.4
1024049024,98144,47.5832,-122.29
1025039086,98199,47.6699,-122.416
1025039292,98199,47.6696,-122.416
1025049114,98105,47.6647,-122.284
1025059094,98052,47.6707,-122.144
1025059186,98052,47.6722,-122.162
1043000100,98030,47.385,-122.189
1048000060,98103,47.6488,-122.334
1048000160,98103,47.6491,-122.334
1049010390,98034,47.7355,-122.18
1062100115,98155,47.7522,-122.278
1068000235,98199,47.6426,-122.409
1068000375,98199,47.6427,-122.408
1070000390,98199,47.6482,-122.408
1072030510,98059,47.4777,-122.142
1073100030,98133,47.7715,-122.336
1077100035,98133,47.7711,-122.34
1079350020,98059,47.4852,-122.164
1079350090,98059,47.4852,-122.162
1081200350,98059,47.4715,-122.118
1081310060,98059,47.4721,-122.123
1081330210,98059,47.469,-122.121
1085621740,98092,47.3384,-122.18
1085623250,98030,47.341,-122.179
1085623350,98030,47.3412,-122.179
1086100100,98033,47.6615,-122.179
1087500040,98033,47.6647,-122.177
1088000050,98033,47.6669,-122.179
1088020070,98033,47.6678,-122.182
1088800060,98011,47.7388,-122.206
1089700010,98011,47.7366,-122.204
1091500120,98031,47.3969,-122.205
1093000090,98115,47.6792,-122.303
1099600220,98023,47.3027,-122.376
1099600250,98023,47.3036,-122.377
1105000015,98118,47.5452,-122.27
1105000229,98118,47.5449,-122.272
1105000233,98118,47.5445,-122.273
1105000373,98118,47.5427,-122.272
1105000402,98118,47.5428,-122.27
1105000571,98118,47.5412,-122.27
1109000040,98118,47.5374,-122.27
1109000390,98118,47.5383,-122.268
1112700150,98034,47.7296,-122.233
1113000430,98198,47.363,-122.308
1115810060,98052,47.6647,-122.153
1117200190,98053,47.6442,-121.999
1118002000,98112,47.6312,-122.291
1118002090,98112,47.6298,-122.29
1120069036,98022,47.2377,-122.016
1121039105,98023,47.3268,-122.388
1121059030,98092,47.3281,-122.124
1124000050,98177,47.7181,-122.371
1125069102,98053,47.6616,-121.999
1133000100,98125,47.7213,-122.31
1133000235,98125,47.7218,-122.312
1133000671,98125,47.7264,-122.31
1137300340,98072,47.7386,-122.091
1137300690,98072,47.7387,-122.096
1137300890,98072,47.7354,-122.095
1137450120,98059,47.5019,-122.151
1137500090,98075,47.5843,-122.06
1138000250,98034,47.7141,-122.213
1138000450,98034,47.7133,-122.212
1150000200,98029,47.5595,-122.019
1150000400,98029,47.561,-122.019
1150700130,98003,47.2778,-122.298
1150700170,98003,47.2774,-122.299
1156000250,98042,47.3392,-122.131
1163400070,98022,47.2159,-121.964
1164000040,98030,47.3714,-122.207
1175000059,98107,47.672,-122.397
1175000073,98107,47.6719,-122.396
1175000110,98107,47.6721,-122.395
1175001135,98107,47.6712,-122.393
1176001310,98107,47.6715,-122.406
1180003090,98178,47.4973,-122.221
1186000095,98122,47.6154,-122.291
1186000125,98122,47.6158,-122.291
1189000207,98122,47.6131,-122.297
1189000492,98122,47.612,-122.295
1189001180,98122,47.6113,-122.297
1193000450,98199,47.6461,-122.392
1196002948,98023,47.3384,-122.34
1196003428,98023,47.3384,-122.336
1219000473,98166,47.4608,-122.34
1220000100,98166,47.4655,-122.346
1220000367,98166,47.4643,-122.346
1223039195,98146,47.4959,-122.367
1223049150,98178,47.4893,-122.229
1223059081,98059,47.4915,-122.106
1223089066,98045,47.4883,-121.725
1226039124,98177,47.7628,-122.359
1226039129,98177,47.7565,-122.358
1226059112,98072,47.7528,-122.119
1226069045,98019,47.7479,-121.972
1231000645,98118,47.5554,-122.267
1231001110,98118,47.5539,-122.268
1231001130,98118,47.5539,-122.267
1232002015,98117,47.6847,-122.381
1233100260,98033,47.6773,-122.178
1235100371,98033,47.6766,-122.186
1236300290,98033,47.6855,-122.19
1237500577,98052,47.6776,-122.161
1238500451,98033,47.683,-122.176
1238501184,98033,47.6828,-122.186
1238900130,98033,47.676,-122.197
1239400570,98033,47.673,-122.187
1241500155,98033,47.6679,-122.165
