id,sqft_house,sqft_lot,sqft_no_basement,sqft_basement,sqft_house_after_2015,sqft_lot_after_2015
11501160,3010,12611,3010,0,2890,9456
11501310,3060,9055,2460,600,2990,9598
11520640,3010,10450,3010,0,3010,10530
11900140,1850,4597,1850,0,2210,5000
16000435,1600,8961,1390,210,1502,6798
34001160,3030,9374,2100,930,1990,6012
42000245,1520,19672,1020,500,1810,7840
53500760,2660,4082,2660,0,2390,4876
84000335,1700,11475,970,730,1560,11475
88000173,2750,9001,2750,0,1340,11050
88000790,1170,9730,1170,0,1680,10125
98020220,3210,8938,3210,0,3740,8108
98030400,3560,6098,3560,0,3660,6846
98030660,3880,7208,3880,0,3280,7221
98300230,4620,130208,4620,0,4620,131007
100300280,1430,4777,1430,0,1639,3854
103000116,2070,5500,1130,940,1800,4400
104501040,1500,7854,1500,0,1500,7334
104510230,1540,7210,1540,0,1500,7210
104550520,1750,6397,1750,0,1940,6502
104550540,1610,6650,1610,0,1960,6650
104560280,1990,6180,1990,0,1910,6180
114100234,2160,9540,2160,0,1720,12593
114100297,1560,8456,1560,0,2230,13109
114100314,1480,7117,1170,310,2230,14775
114100758,960,112384,960,0,1210,24875
114700150,1560,10919,1560,0,1730,10919
121039083,1460,12367,1120,340,1970,18893
121039156,1030,24750,1030,0,2810,28800
121059007,1200,43560,1200,0,1400,54450
122069107,1900,43186,1300,600,2080,108028
123039333,1910,16320,1910,0,1380,9000
123059042,2190,220414,1330,860,2550,175982
124000160,1410,3376,1410,0,1040,3600
126039213,1140,15624,1140,0,2110,15493
126039252,1840,11367,1840,0,1690,9800
126039467,3040,7200,3040,0,2360,8245
126049100,1830,27468,1830,0,1860,10180
126049169,1540,61419,1540,0,3790,8529
126059005,2200,103237,1160,1040,2300,103237
126059097,2690,104544,2690,0,2300,81698
151000075,2160,3920,2160,0,1500,4920
164000174,1010,6300,1010,0,1480,7480
164000271,980,7228,980,0,1070,7228
164000361,1810,6583,1500,310,860,8670
173000140,1770,10125,1770,0,1680,9825
179000350,1010,5000,1010,0,980,5000
179001046,1190,3000,1190,0,1190,3000
191100665,1050,8382,1050,0,2400,9525
192000120,1480,7225,1480,0,1430,7201
192300020,2100,10362,1510,590,2240,11842
192450180,1140,15890,840,300,1200,15247
194000505,1940,6440,970,970,1730,4640
200520080,2660,10637,2660,0,2590,8637
203100435,690,23244,690,0,1690,19290
203100690,3160,42733,3160,0,1890,24000
204000140,1500,10730,1000,500,1570,12210
205000450,2470,33305,2470,0,2440,33305
205000520,3200,36276,3200,0,2930,33171
207500012,2600,5390,1300,1300,2550,5600
221049191,2120,22482,1360,760,2330,16016
222069057,3580,95832,3580,0,2880,60548
224069094,2120,40518,2120,0,2480,13492
224069114,2470,77550,2470,0,2490,40894
225039029,1940,5625,1440,500,1460,5500
225039069,2450,5376,1550,900,1920,5264
225069017,2720,183823,2720,0,2140,173804
226039214,1940,7642,1940,0,1940,8724
226059065,2260,54014,1450,810,2140,44431
226059161,2280,27441,2280,0,2350,35020
236500050,2420,8800,1420,1000,1546,8666
238000244,2890,21780,2890,0,2120,8117
240000130,3280,16575,2190,1090,1570,13209
243000380,2080,7800,1220,860,1770,7860
248000240,1060,9600,1060,0,1440,9600
250000010,3845,8400,3845,0,1710,8400
255370420,1990,3644,1990,0,2580,3800
255450030,2420,4725,2420,0,2370,4200
255450040,2640,4725,2640,0,2370,4725
255450390,2370,4200,2370,0,2370,4200
255450410,2060,4200,2060,0,2370,4200
255550270,1970,3655,1970,0,1970,2952
255580190,1740,7895,1740,0,1720,6813
258500059,2050,15020,1600,450,2930,15050
259600790,1220,7370,1220,0,1580,8213
259800750,1250,8004,1250,0,1450,7931
263000006,1530,1131,1530,0,1530,1445
263000291,1540,9450,1040,500,1200,5400
267000130,2070,12000,1340,730,2090,12000
268500020,1650,9750,1650,0,1650,10112
269001331,3200,7863,1600,1600,2640,7680
272000125,1200,4000,1200,0,1390,4000
272000220,2090,4000,1060,1030,1590,4000
272000355,1310,2998,1310,0,1310,2997
274100090,3290,8000,1790,1500,2380,7000
284000025,2180,18525,1580,600,2480,21503
290000055,2020,7200,1700,320,2020,7200
290000095,2740,6360,1370,1370,2150,6600
290200230,2800,5368,2800,0,2790,5368
291310120,1410,1332,1290,120,1445,1290
